"Date","Price","Open","High","Low","Vol.","Change %"
"05-02-2024","3,973.30","3,983.00","4,022.00","3,962.10","1.69M","0.18%"
"02-02-2024","3,966.30","3,875.05","3,984.40","3,872.00","2.83M","2.91%"
"01-02-2024","3,854.15","3,820.00","3,904.90","3,805.05","2.36M","1.00%"
"31-01-2024","3,815.95","3,811.20","3,834.00","3,796.45","2.46M","0.41%"
"30-01-2024","3,800.55","3,807.45","3,847.80","3,787.00","1.41M","-0.01%"
"29-01-2024","3,801.00","3,800.80","3,820.00","3,780.85","1.65M","-0.24%"
"25-01-2024","3,810.30","3,839.90","3,861.00","3,778.70","2.21M","-0.82%"
"24-01-2024","3,841.80","3,880.00","3,883.65","3,805.60","2.66M","-0.43%"
"23-01-2024","3,858.25","3,900.00","3,933.90","3,842.75","2.62M","-0.06%"
"20-01-2024","3,860.65","3,948.00","3,955.65","3,855.55","516.48K","-2.09%"
"19-01-2024","3,943.05","3,945.00","3,963.55","3,915.05","2.94M","1.50%"
"18-01-2024","3,884.60","3,880.02","3,890.77","3,844.19","2.24M","0.46%"
"17-01-2024","3,866.68","3,801.39","3,891.92","3,794.97","3.46M","0.60%"
"16-01-2024","3,843.49","3,881.02","3,881.02","3,837.77","1.43M","-1.09%"
"15-01-2024","3,885.80","3,941.74","3,946.71","3,867.08","2.80M","0.54%"
"12-01-2024","3,864.89","3,830.25","3,887.24","3,803.98","6.81M","3.94%"
"11-01-2024","3,718.32","3,706.82","3,755.60","3,689.90","1.78M","0.61%"
"10-01-2024","3,695.93","3,672.98","3,712.05","3,670.99","1.29M","0.63%"
"09-01-2024","3,672.88","3,692.84","3,735.04","3,665.76","1.37M","0.32%"
"08-01-2024","3,661.34","3,720.66","3,722.50","3,655.46","1.07M","-1.59%"
"05-01-2024","3,720.66","3,658.05","3,730.47","3,657.90","1.96M","1.94%"
"04-01-2024","3,649.89","3,684.68","3,701.85","3,634.16","3.60M","-0.68%"
"03-01-2024","3,674.72","3,749.63","3,754.45","3,670.04","1.80M","-2.42%"
"02-01-2024","3,765.75","3,793.52","3,793.52","3,749.88","1.34M","-0.73%"
"01-01-2024","3,793.52","3,772.52","3,814.33","3,755.60","825.91K","0.47%"
"29-12-2023","3,775.91","3,774.51","3,804.97","3,748.03","1.57M","-0.17%"
"28-12-2023","3,782.38","3,806.36","3,820.30","3,774.61","1.68M","-0.30%"
"27-12-2023","3,793.62","3,781.48","3,800.59","3,750.62","1.29M","0.41%"
"26-12-2023","3,778.04","3,802.23","3,816.32","3,772.67","1.29M","-0.74%"
"22-12-2023","3,806.36","3,782.47","3,828.21","3,744.65","2.41M","0.96%"
"21-12-2023","3,770.03","3,738.93","3,789.14","3,726.09","1.52M","0.20%"
"20-12-2023","3,762.62","3,809.60","3,880.82","3,749.18","2.59M","-0.95%"
"19-12-2023","3,798.60","3,827.27","3,837.32","3,772.52","2.00M","-1.11%"
"18-12-2023","3,841.40","3,840.31","3,910.88","3,812.49","2.52M","-0.05%"
"15-12-2023","3,843.19","3,649.79","3,877.98","3,649.79","8.53M","5.28%"
